Name,Rank,Journal Impact Factor,JIF Quartile,Category Normalized Citation Impact,ISSN,eISSN,Publisher (unified),Eigenfactor,WoS Categories,5 Year Impact Factor,JIF Rank,Publisher (all)
NATURE MATERIALS,41,47.656,Q1,5.036842563,1476-1122,1476-4660,Springer Nature (Unified),0.1212,"CHEMISTRY, PHYSICAL;MATERIALS SCIENCE, MULTIDISCIPLINARY;PHYSICS, APPLIED;PHYSICS, CONDENSED MATTER",49.937,1/163,NATURE PORTFOLIO
NATURE REVIEWS ENDOCRINOLOGY,42,47.564,Q1,2.009501464,1759-5029,1759-5037,Springer Nature (Unified),0.0282,ENDOCRINOLOGY & METABOLISM,47.766,1/146,NATURE PORTFOLIO
PHYSIOLOGICAL REVIEWS,43,46.5,Q1,4.816701826,0031-9333,1522-1210,,0.0236,PHYSIOLOGY,47.073,1/81,AMER PHYSIOLOGICAL SOC
CELL RESEARCH,44,46.297,Q1,2.553057054,1001-0602,1748-7838,Springer Nature (Unified),0.04,CELL BIOLOGY,38.109,4/194,SPRINGERNATURE
JOULE,45,46.048,Q1,4.210211545,2542-4351,2542-4351,Elsevier (Unified),0.0596,"CHEMISTRY, PHYSICAL;ENERGY & FUELS;MATERIALS SCIENCE, MULTIDISCIPLINARY",47.554,2/163,CELL PRESS
LANCET GASTROENTEROLOGY & HEPATOLOGY,46,45.042,Q1,2.509622498,2468-1253,2468-1253,Elsevier (Unified),0.0319,GASTROENTEROLOGY & HEPATOLOGY,31.987,2/93,ELSEVIER INC
LANCET DIABETES & ENDOCRINOLOGY,47,44.867,Q1,3.236331304,2213-8587,2213-8595,Elsevier (Unified),0.0458,ENDOCRINOLOGY & METABOLISM,36.805,2/146,ELSEVIER SCIENCE INC
NATURE REVIEWS NEUROLOGY,48,44.711,Q1,3.751948405,1759-4758,1759-4766,Springer Nature (Unified),0.0295,CLINICAL NEUROLOGY,42.347,2/212,NATURE PORTFOLIO
JAMA INTERNAL MEDICINE,49,44.409,Q1,2.346147807,2168-6106,2168-6114,,0.092,"MEDICINE, GENERAL & INTERNAL",32.31,7/172,AMER MEDICAL ASSOC
IMMUNITY,50,43.474,Q1,4.563201124,1074-7613,1097-4180,Elsevier (Unified),0.1226,IMMUNOLOGY,39.536,2/161,CELL PRESS
LIVING REVIEWS IN RELATIVITY,51,42.9,Q1,3.615448276,2367-3613,1433-8351,Springer Nature (Unified),0.0035,"PHYSICS, PARTICLES & FIELDS",36.407,1/29,SPRINGER INT PUBL AG
NATURE REVIEWS NEPHROLOGY,52,42.439,Q1,3.567123695,1759-5061,1759-507X,Springer Nature (Unified),0.0231,UROLOGY & NEPHROLOGY,38.717,1/90,NATURE PORTFOLIO
INTENSIVE CARE MEDICINE,53,41.787,Q1,2.5744151,0342-4642,1432-1238,Springer Nature (Unified),0.0489,CRITICAL CARE MEDICINE;EMERGENCY MEDICINE,28.991,2/35,SPRINGER
MOLECULAR CANCER,54,41.444,Q1,4.299712472,1476-4598,1476-4598,Springer Nature (Unified),0.0339,BIOCHEMISTRY & MOLECULAR BIOLOGY;ONCOLOGY,30.612,3/296,BMC
NATURE GENETICS,55,41.307,Q1,6.788834649,1061-4036,1546-1718,Springer Nature (Unified),0.1634,GENETICS & HEREDITY,39.321,2/175,NATURE PORTFOLIO
NATURE CATALYSIS,56,40.706,Q1,3.28697875,2520-1158,2520-1158,Springer Nature (Unified),0.0411,"CHEMISTRY, PHYSICAL",47.253,3/163,NATURE PORTFOLIO
NATURE NANOTECHNOLOGY,57,40.523,Q1,3.539810134,1748-3387,1748-3395,Springer Nature (Unified),0.0871,"MATERIALS SCIENCE, MULTIDISCIPLINARY;NANOSCIENCE & NANOTECHNOLOGY",42.23,2/109,NATURE PORTFOLIO
CIRCULATION,58,39.918,Q1,1.735835202,0009-7322,1524-4539,Lippincott Williams & Wilkins (Unified),0.2087,CARDIAC & CARDIOVASCULAR SYSTEMS;HEMATOLOGY;PERIPHERAL VASCULAR DISEASE,33.499,1/67,LIPPINCOTT WILLIAMS & WILKINS
NATURE PHOTONICS,59,39.728,Q1,5.503488054,1749-4885,1749-4893,Springer Nature (Unified),0.0709,"OPTICS;PHYSICS, APPLIED",40.182,1/101,NATURE PORTFOLIO
ENERGY & ENVIRONMENTAL SCIENCE,60,39.714,Q1,5.051518922,1754-5692,1754-5706,,0.1146,"CHEMISTRY, MULTIDISCIPLINARY;ENERGY & FUELS;ENGINEERING, CHEMICAL;ENVIRONMENTAL SCIENCES",39.151,1/279,ROYAL SOC CHEMISTRY
JOURNAL OF TRAVEL MEDICINE,61,39.194,Q1,1.824721519,1195-1982,1708-8305,Oxford University Press (Unified),0.012,"INFECTIOUS DISEASES;MEDICINE, GENERAL & INTERNAL;PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",15.609,2/210,OXFORD UNIV PRESS INC
LANCET GLOBAL HEALTH,62,38.927,Q1,4.678958379,2214-109X,2214-109X,Elsevier (Unified),0.0606,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",35.214,2/182,ELSEVIER SCI LTD
NATURE REVIEWS NEUROSCIENCE,63,38.755,Q1,2.597066096,1471-003X,1471-0048,Springer Nature (Unified),0.0431,NEUROSCIENCES,47.614,1/274,NATURE PORTFOLIO
JOURNAL OF INFECTION,64,38.637,Q1,1.924851931,0163-4453,1532-2742,Elsevier (Unified),0.0369,INFECTIOUS DISEASES,19.923,4/94,W B SAUNDERS CO LTD
CANCER CELL,65,38.585,Q1,4.784229773,1535-6108,1878-3686,Elsevier (Unified),0.0736,CELL BIOLOGY;ONCOLOGY,41.159,5/194,CELL PRESS
CANCER DISCOVERY,66,38.272,Q1,2.84407364,2159-8274,2159-8290,,0.0648,ONCOLOGY,41.226,9/245,AMER ASSOC CANCER RESEARCH
SIGNAL TRANSDUCTION AND TARGETED THERAPY,67,38.104,Q1,2.520431771,2095-9907,2059-3635,Springer Nature (Unified),0.0178,BIOCHEMISTRY & MOLECULAR BIOLOGY;CELL BIOLOGY,35.13,4/296,SPRINGERNATURE
CELL DISCOVERY,68,38.079,Q1,1.756160247,2056-5968,2056-5968,Springer Nature (Unified),0.0132,CELL BIOLOGY,19.649,7/194,SPRINGERNATURE
LANCET CHILD & ADOLESCENT HEALTH,69,37.746,Q1,4.606922014,2352-4642,2352-4642,Elsevier (Unified),0.0224,PEDIATRICS,29.195,1/130,ELSEVIER SCI LTD
JOURNAL OF PUBLIC TRANSPORTATION,70,37.667,Q1,1.000273333,1077-291X,n/a,,6.00E-04,TRANSPORTATION,4.188,1/37,CENTER URBAN TRANSPORTATION RESEARCH
NATURE REVIEWS EARTH & ENVIRONMENT,71,37.214,Q1,1.680652893,n/a,2662-138X,Springer Nature (Unified),0.0046,"ENVIRONMENTAL SCIENCES;GEOSCIENCES, MULTIDISCIPLINARY",37.214,1/201,SPRINGERNATURE
LANCET DIGITAL HEALTH,72,36.615,Q1,2.836845707,n/a,2589-7500,Elsevier (Unified),0.0095,"MEDICAL INFORMATICS;MEDICINE, GENERAL & INTERNAL",36.615,1/31,ELSEVIER
MMWR RECOMMENDATIONS AND REPORTS,73,36.286,Q1,11.569068,1057-5987,1545-8601,,0.0081,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",59.08,4/210,CENTERS  DISEASE CONTROL & PREVENTION
NATURE REVIEWS PHYSICS,74,36.273,Q1,1.757494335,n/a,2522-5820,Springer Nature (Unified),0.0122,"PHYSICS, APPLIED;PHYSICS, MULTIDISCIPLINARY",36.273,3/161,NATURE PORTFOLIO
EUROPEAN HEART JOURNAL,75,35.855,Q1,1.177830153,0195-668X,1522-9645,Oxford University Press (Unified),0.1373,CARDIAC & CARDIOVASCULAR SYSTEMS,33.032,3/143,OXFORD UNIV PRESS
ASTRONOMY AND ASTROPHYSICS REVIEW,76,35.786,Q1,3.239891429,0935-4956,1432-0754,Springer Nature (Unified),0.0036,ASTRONOMY & ASTROPHYSICS,24.6,2/69,SPRINGER
LANCET RHEUMATOLOGY,77,35.482,Q1,3.19115429,2665-9913,2665-9913,Elsevier (Unified),0.0091,RHEUMATOLOGY,35.542,1/34,ELSEVIER
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,78,35.339,Q1,2.636163314,0360-1285,1873-216X,Elsevier (Unified),0.0103,"ENERGY & FUELS;ENGINEERING, CHEMICAL;ENGINEERING, MECHANICAL;THERMODYNAMICS",42,1/137,PERGAMON-ELSEVIER SCIENCE LTD
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,79,35.301,Q1,5.992532824,0149-2195,1545-861X,,0.1164,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",21.383,5/210,CENTERS  DISEASE CONTROL & PREVENTION
